Roll,Goal,Description
1#5,Clear Name,The name of one of the characters or an NPC has been sullied and the characters must clear it. The characters must find out (a) why the name has been smeared and (b) who is responsible and (c) why the responsible party is doing it; then they must find evidence to convince everyone they're telling the truth.
6#10,Escape,Early in the adventure the heroes are captured. The remainder of the adventure consists of them learning enough so that they can escape. They have to get to know their fellow prisoners; learn the prison's routine; inventory their possessions; acquire other possessions they need; plan an escape; and execute it.
11#19,Explore a New Area,The heroes are hired or convinced to enter an unmapped area and explore it. They may be making a map; they may be trying to find someone who disappeared into this area in the past; they may be following legends that tell of treasure in the unexplored interior.
20#25,Encounter Old Villain,If your campaign has a villain who shows up again and again to bedevil the heroes then this is an episode featuring that villain. You might wish to roll once again to see what the villain's goal is.
26#35,Gain Money,The heroes are intent on acquiring a fee or treasure. If it's a fee you may roll again to learn the patron's goal. If it's a treasure then consult the Setting which will dictate where the treasure is.
36#45,Gain Power,The heroes are on this adventure to gain personal or political power for themselves. They may be looking for an artifact or weapon or are performing a mission for someone who will reward them with political power (a higher social rank or lands as an example). If the characters are doing someone else's bidding then you may roll agin to see what goal the patron will have assigned to the characters.
46#55,Protect Endangered NPC(s),One or more NPCs are in danger and the characters must protect them. They might be doing this for a reward or because one or more of the NPCs is a friend or relative of the character. You need to decide what the characters are protecting the NPCs from. The NPC might be a wealthy or powerful person being sought by assassins or kidnappers. The NPC might be a whole village of peasants who are being terrorized by a bandit chieftain.
56#60,Rescue NPC(s),The characters must rescue one or more kidnapped NPCs from the stronghold of the kidnapper. They must break into the stronghold and perform the rescue through careful planning and a large dose of luck.
61#65,Retrieve Item,The goal is like the Rescue except the victim is an inanimate object. This item may be an artifact or a paper containing evidence against a character or patron. It could be an antidote needed to save another NPC or player character or an item of sentimental value # an item which one NPC hires the characters to steal from another NPC.
66#70,Settle a Debt,A player#character may find themselves in the position of needing to settle a debt. They could gamble away all of their money and need to raise some more to repay the gambling#house before its enforcers come for them. On a more personal level the character may need to settle a debt of either money or honor that they owe to an NPC.
71#80,Survive Environment,The characters cold end up in a hostile environment which they must cross # a desert or jungle or other hostile setting. In the course of the adventure they'll need to find food and water as they resist the elements and fight off attacks from natives.
81#95,Thwart Monstrous Plan,This is a classic fantasy#adventure plot: the characters learn of some horrible plan made by a monstrous enemy and must thwart it before the kingdom is lost or the world destroyed. This is an epic goal and usually requires that characters go to all sorts of places. They must round up allies and artifacts before being strong enough to face their enemy.
96#100,Win War,In this adventurer set of adventures the characters become part of an army # a force assaulting another kingdom or an army defending one realm from another.
